date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01,3,-2,0.0,7.0,1,37,12:30 PM,No moonset,08:25 AM,05:45 PM,-5,-5,0,-5,27,25,70,0.0,1008,3,10,268,18,ABE
2020-01-02,7,-2,0.0,8.7,1,44,12:55 PM,12:08 AM,08:25 AM,05:46 PM,-3,-2,2,-2,19,23,74,0.0,1013,7,10,238,12,ABE
2020-01-03,8,-1,0.0,3.5,2,51,01:19 PM,01:06 AM,08:26 AM,05:47 PM,5,4,6,4,12,92,95,9.5,1009,8,7,223,7,ABE
2020-01-04,11,1,0.0,3.5,2,59,01:44 PM,02:04 AM,08:26 AM,05:48 PM,8,7,8,7,12,87,94,8.7,1004,11,7,222,8,ABE
2020-01-05,4,-1,0.0,8.7,2,66,02:11 PM,03:04 AM,08:26 AM,05:49 PM,-4,-3,2,-3,26,33,68,0.0,1010,4,10,295,18,ABE
2020-01-06,4,-1,0.0,8.7,1,73,02:41 PM,04:05 AM,08:26 AM,05:50 PM,-4,-3,1,-3,24,38,71,0.0,1014,4,10,253,15,ABE
2020-01-07,4,-2,0.0,3.5,1,80,03:17 PM,05:09 AM,08:25 AM,05:51 PM,-5,-2,0,-2,13,71,68,0.0,1018,4,10,235,8,ABE
2020-01-01,13,5,0.0,10.0,3,37,01:03 PM,No moonset,08:40 AM,06:44 PM,1,6,8,6,33,21,60,0.0,1013,13,10,183,20,ABI
2020-01-02,16,10,0.0,10.1,3,44,01:32 PM,12:53 AM,08:40 AM,06:45 PM,3,10,12,10,49,37,53,0.0,1000,16,10,240,33,ABI
2020-01-03,10,7,0.0,8.3,2,51,02:00 PM,01:47 AM,08:40 AM,06:46 PM,-1,5,8,5,34,57,52,0.0,1015,10,10,324,25,ABI
2020-01-04,17,7,0.0,10.1,4,59,02:29 PM,02:40 AM,08:41 AM,06:46 PM,-3,9,10,9,25,0,40,0.0,1026,17,10,246,14,ABI
2020-01-05,14,8,0.0,10.1,4,66,03:01 PM,03:36 AM,08:41 AM,06:47 PM,-1,9,11,9,35,0,44,0.0,1024,14,10,211,20,ABI
2020-01-06,14,5,0.0,10.1,3,73,03:36 PM,04:33 AM,08:41 AM,06:48 PM,1,8,9,8,13,5,59,0.0,1022,14,10,40,8,ABI
2020-01-07,15,4,0.0,10.1,3,80,04:16 PM,05:33 AM,08:41 AM,06:49 PM,-5,8,9,8,16,0,41,0.0,1029,15,10,230,10,ABI
2020-01-01,4,-2,0.0,9.9,2,37,12:33 PM,No moonset,08:14 AM,06:05 PM,-8,-3,0,-3,12,20,55,0.0,1014,4,10,339,7,ABQ
2020-01-02,3,-2,0.0,9.9,1,44,01:00 PM,12:20 AM,08:15 AM,06:06 PM,-8,-5,0,-5,30,33,59,0.0,1008,3,10,323,20,ABQ
2020-01-03,4,-3,0.0,9.9,2,51,01:28 PM,01:15 AM,08:15 AM,06:07 PM,-11,-6,-1,-6,26,4,49,0.0,1024,4,10,328,16,ABQ
2020-01-04,7,-2,0.0,9.9,2,59,01:56 PM,02:10 AM,08:15 AM,06:08 PM,-6,0,2,0,12,4,57,0.0,1029,7,10,295,7,ABQ
2020-01-05,9,1,0.0,9.9,3,66,02:26 PM,03:07 AM,08:15 AM,06:08 PM,-5,4,4,4,5,6,53,0.0,1025,9,10,208,3,ABQ
2020-01-06,7,-1,0.0,9.9,2,73,03:00 PM,04:06 AM,08:15 AM,06:09 PM,-9,-2,2,-2,25,1,45,0.0,1027,7,10,320,15,ABQ
2020-01-07,9,-1,0.0,10.0,2,80,03:39 PM,05:07 AM,08:15 AM,06:10 PM,-11,1,2,1,8,0,37,0.0,1028,9,10,160,5,ABQ
2020-01-01,-3,-11,0.0,5.1,1,37,01:09 PM,No moonset,09:14 AM,06:01 PM,-9,-13,-7,-13,32,37,87,0.0,999,-3,10,188,16,ABR
2020-01-02,-3,-9,0.0,8.7,1,44,01:30 PM,12:40 AM,09:14 AM,06:02 PM,-6,-9,-5,-9,19,38,91,0.0,1002,-3,10,301,10,ABR
2020-01-03,-5,-11,0.0,8.7,1,51,01:51 PM,01:42 AM,09:14 AM,06:03 PM,-8,-11,-6,-11,24,45,89,0.0,1016,-5,10,290,13,ABR
2020-01-04,-3,-11,0.0,8.7,2,59,02:13 PM,02:43 AM,09:14 AM,06:04 PM,-8,-13,-7,-13,25,29,89,0.0,1016,-3,10,208,13,ABR
2020-01-05,0,-4,0.0,8.7,2,66,02:37 PM,03:47 AM,09:14 AM,06:05 PM,-5,-7,-1,-7,43,12,75,0.0,1017,0,10,274,23,ABR
2020-01-06,0,-6,0.0,8.7,1,73,03:04 PM,04:51 AM,09:13 AM,06:06 PM,-6,-9,-3,-9,34,43,80,0.0,1017,0,10,254,17,ABR
2020-01-07,-10,-18,0.0,8.7,2,80,03:38 PM,05:58 AM,09:13 AM,06:07 PM,-14,-17,-12,-17,18,19,86,0.0,1025,-10,10,253,10,ABR
2020-01-01,14,5,0.0,10.1,3,37,12:59 PM,No moonset,08:36 AM,06:44 PM,0,8,9,8,11,10,54,0.0,1020,14,10,281,6,ABY
2020-01-02,18,8,0.0,10.1,3,44,01:29 PM,12:49 AM,08:36 AM,06:45 PM,5,12,13,12,19,38,58,0.0,1016,18,10,155,12,ABY
2020-01-03,21,15,0.0,5.1,4,51,01:57 PM,01:42 AM,08:36 AM,06:46 PM,17,18,19,18,28,96,88,11.7,1012,21,9,234,17,ABY
2020-01-04,17,10,0.0,10.0,4,59,02:27 PM,02:35 AM,08:37 AM,06:46 PM,10,15,16,15,24,66,70,0.4,1016,17,10,299,17,ABY
2020-01-05,13,4,0.0,10.1,3,66,02:59 PM,03:31 AM,08:37 AM,06:47 PM,0,6,8,6,19,0,57,0.0,1027,13,10,307,13,ABY
